2425-001-R-UWIDE,Polytechnic University of the Phillippines Lawod (PUP Lawod),UWIDE,UWIDE,Revalidated,,https://www.facebook.com/puplawod,lawod@iskolarngbayan.pup.edu.ph
2425-002-R-UWIDE,PUP Radio Engineering Circle - Manila Section (PUP-REC Manila Section),Special Interest,UWIDE,Revalidated,"This is the university's official amateur radio club and a recognized student organization under the National Telecommunications Commission. It serves as an independent bureau of Radio Engineering Circle, Inc., promoting a research-driven community focused on radio communications.",https://www.facebook.com/PUPREC,rec.manila@iskolarngbayan.pup.edu.ph
2425-003-R-CAF,Junior Financial Executives - Polytechnic University of the Phillippines (JFINEX-PUP),Academic,CAF,Revalidated,"This is an academic organization that aims to develop its members’ skills in financial management and promote collaboration among business-related students. It establishes connections within and outside the university, including partnerships with government and non-government organizations.",https://www.facebook.com/JFINEX.ORG.PUP,pup.jfinex@gmail.com
2425-004-R-UWIDE,Youth on the Rock (YTR-PUP),Socio-Civic,UWIDE,Revalidated,"Youth on the Rock (YTR Youth Organizations Inc.) is a group founded by Rodolfo Española Jr. in 1997 to help young people become godly, patriotic, and responsible leaders. Through mentoring and training, YTR encourages the youth to grow in faith, discover their purpose, and make a positive impact in their communities.",https://www.facebook.com/ytrorg,execomyrock@gmail.com
2425-005-R-UWIDE,PUP House of Parliamentarians,Academic,UWIDE,Revalidated,,https://www.facebook.com/pup.houseofparl,puphouseofparliament@gmail.com
2425-006-R-UWIDE,PUP KASARIANLAN (KASARIANLAN),Advocacy,UWIDE,Revalidated,"Kasarianlan was founded in 2016 after its pioneers, inspired by the Metro Manila Pride March, saw the need for an LGBTQIA+ organization in PUP, especially within the College of Communication. Born from a shared vision to create a safe space and support system, it stands for “freedom from gender.” To live beyond labels and proudly embrace their identities.",https://www.facebook.com/PUPKasarianlan,pupkasarianlan@gmail.com
2425-007-R-UWIDE,PUP Peer Facilitators Association (PUPPFA),Academic/UWIDE,UWIDE,Revalidated,This was formed by the Guidance Counseling Office and Psychology students to train student leaders. It helps students build better relationships with themselves and others through group activities and counseling techniques.,https://www.facebook.com/puppfa,externals.puppeerfacis@gmail.com
2425-008-R-CTHTM,PUP Tour Rise + (PUP TR+),UWIDE,CTHTM,Revalidated,,https://www.facebook.com/PUPTourRise,pup.cthtm.tourrise@gmail.com
2425-009-A-ITECH,Consortium of Office Management and Information Technologists (COMMIT),Academic,ITECH,Accredited,,https://www.facebook.com/pupitechcommit,pupitechcommit@gmail.com
2425-010-R-COED,PUP Guild of Livelihood and Techonology Education Students (PUP GLiTES),Academic,COED,Revalidated,"This is an umbrella organization under the Future Business Teachers’ Organization (FBTO) that focuses on Home Economics, Industrial Arts, and Food and Service Management. It helps students enhance their skills as future educators and promotes useful knowledge in technology for the community.",https://www.facebook.com/Glitespup,glitesofficial@gmail.com
2425-011-R-COED,Mathematics: Road to Excellence (MATH:RIIX),Academic,COED,Revalidated,"The Mathematics: Road to Excellence (MATH:RIIX) is a duly accredited and recognized organization at the Polytechnic University of the Philippines, Sta. Mesa, under the College of Education. Composed of students from the Bachelor of Secondary Education Major in Mathematics program, MATH:RIIX is committed to providing meaningful activities, reliable announcements, and resources that promote academic growth and excellence.",https://www.facebook.com/mathriix,mathriix@iskolarngbayan.pup.edu.ph
